2022-05-19 11:05:746 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //select[@id='locations']]
2022-05-19 11:05:977 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //select[@id='priceTo']]
2022-05-19 11:05:903 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //input[@id='search-submit']]
2022-05-19 11:05:271 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (bee09b5a0c33be1e1da3fcf6a7812778)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 11:05:112 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:946 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (da3f4298b9e51b1f2f74b5978299514c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 11:05:139 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (da3f4298b9e51b1f2f74b5978299514c)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 11:05:293 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (da3f4298b9e51b1f2f74b5978299514c)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 11:05:402 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:231 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 11:05:445 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 11:05:39 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 11:05:958 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //select[@id='makes']]
2022-05-19 11:05:261 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //select[@id='models']]
2022-05-19 11:05:367 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //select[@id='locations']]
2022-05-19 11:05:456 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //select[@id='priceTo']]
2022-05-19 11:05:613 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //input[@id='search-submit']]
2022-05-19 11:05:871 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (d5a0b7aa5411be27ebbb85b4a4c1018f)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 11:05:677 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:233 INFO  ManageDriver :31 - Launching Chrome Browser
